Address  Disassembly                                                                                                                                                                                              String                                                                                                                                                                                                                                                                                                                                                                                                                                                                
77852018 mov ecx,user32.777F4AF8                                                                                                                                                                                  L"\\Registry\\Machine\\Software\\Microsoft\\Windows\\CurrentVersion\\Media Center\\"
77852444 mov edx,user32.777F4A5C                                                                                                                                                                                  L"IsTabletPC"
77852449 mov ecx,user32.777F4A78                                                                                                                                                                                  L"\\Registry\\Machine\\Software\\Microsoft\\Windows\\Tablet PC\\"
7785585D mov eax,user32.777F4BAC                                                                                                                                                                                  L"nmlkji"
77855925 mov eax,user32.777F4B9C                                                                                                                                                                                  L"gfedcb"
7785642B mov eax,dword ptr ds:[777F4BBC]                                                                                                                                                                          L"..."
778564EF push user32.777F4BBC                                                                                                                                                                                     L"..."
7785658E mov eax,dword ptr ds:[777F4BBC]                                                                                                                                                                          L"..."
778570D6 push user32.777F4BBC                                                                                                                                                                                     L"..."
778598FF push user32.777F6F08                                                                                                                                                                                     L"apphelp.dll"
7785991C push user32.777F6F20                                                                                                                                                                                     "DWM8And16Bit_IsShimApplied_CallOut"
77859928 push user32.777F6F44                                                                                                                                                                                     "DWM8And16Bit_EnumDisplaySettingsExW_CallOut"
77859C32 push user32.777F6F08                                                                                                                                                                                     L"apphelp.dll"
77859C4F push user32.777F6F20                                                                                                                                                                                     "DWM8And16Bit_IsShimApplied_CallOut"
77859C5B push user32.777F6F44                                                                                                                                                                                     "DWM8And16Bit_EnumDisplaySettingsExW_CallOut"
7785CB6B push user32.777F37D0                                                                                                                                                                                     L"\\Registry\\Machine\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Windows"
7785CBB6 push user32.777F6C74                                                                                                                                                                                     L"ShutdownWarningDialogTimeout"
7785CF6F push user32.777F3950                                                                                                                                                                                     L" ("
7786097B push user32.777F6CE0                                                                                                                                                                                     L"Software\\Microsoft\\Windows\\CurrentVersion\\Reliability"
77860999 push user32.777F6D50                                                                                                                                                                                     L"ShutdownIgnorePredefinedReasons"
77860BD5 push user32.777F6D90                                                                                                                                                                                     L"Software\\Policies\\Microsoft\\Windows NT\\Reliability"
77860C0D push user32.777F6DF8                                                                                                                                                                                     L"ShutdownReasonUI"
77860C9B push user32.777F6E1C                                                                                                                                                                                     L"ShutdownReasonOn"
77861D42 mov edx,user32.777F6E40                                                                                                                                                                                  L"NoSkipCWIBMitigation"
77861D47 mov ecx,user32.777F6E70                                                                                                                                                                                  L"\\Registry\\Machine\\Software\\Microsoft\\Windows\\CurrentVersion\\ImmersiveShell\\"
77862C9E push user32.777F6F08                                                                                                                                                                                     L"apphelp.dll"
77862CBD push user32.777F6F20                                                                                                                                                                                     "DWM8And16Bit_IsShimApplied_CallOut"
77862CC9 push user32.777F6F70                                                                                                                                                                                     "DWM8And16Bit_ChangeDisplaySettingsExW_CallOut"
778653EB push user32.777F4A50                                                                                                                                                                                     L".bmp"
7786717D push user32.777F6F08                                                                                                                                                                                     L"apphelp.dll"
77867196 push user32.777F6F20                                                                                                                                                                                     "DWM8And16Bit_IsShimApplied_CallOut"
778671A2 push user32.777F6F70                                                                                                                                                                                     "DWM8And16Bit_ChangeDisplaySettingsExW_CallOut"
778674FF push user32.777F7800                                                                                                                                                                                     L"Local\\Microsoft-Windows-DesktopBackground"
778766B0 push 646150                                                                                                                                                                                              "9M"
778817AA push user32.77878677                                                                                                                                                                                     "tUserDdeInitialize"
778BD5AA push user32.77878677                                                                                                                                                                                     "tUserDdeInitialize"
778C978E or eax,ntdll.77A7C01D                                                                                                                                                                                    "tlFreeMemoryBlockLookaside"
7792C1DF inc dword ptr ds:[esi+190578]                                                                                                                                                                            L"2-process-l1-1-0"
779315BD inc dword ptr ds:[ebx+19057A]                                                                                                                                                                            L"-process-l1-1-0"
7793F05F inc dword ptr ds:[esi+190578]                                                                                                                                                                            L"2-process-l1-1-0"
7794443D inc dword ptr ds:[ebx+19057A]                                                                                                                                                                            L"-process-l1-1-0"
77951B64 mov al,byte ptr ds:[1E16A0]                                                                                                                                                                              L"_5.82.16299.15_en-us_42349464445ae1ef"
77971729 add byte ptr ds:[eax+eax+7797A448],dl                                                                                                                                                                    L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\Session Manager\\kernel"
77971AE9 add byte ptr ds:[eax+eax+77980FF8],ch                                                                                                                                                                    L"\\Registry\\MACHINE\\System\\CurrentControlSet\\Control\\Session Manager\\Safe Load Prefixes"
779745BE imul eax,dword ptr ds:[eax],69006C                                                                                                                                                                       L"ivehi"
7797F13C imul eax,dword ptr ds:[eax],69006C                                                                                                                                                                       L"ivehi"
77983FFE imul eax,dword ptr ds:[eax],69006E                                                                                                                                                                       L"vehi"
7798485A imul eax,dword ptr ds:[eax],6F0050                                                                                                                                                                       L"BH"
77988627 add byte ptr ds:[esi+184BB8],bl                                                                                                                                                                          L"in-base-util-l1-1-0"
7798C9B3 and eax,ntdll.77AB572A                                                                                                                                                                                   L"the system. You can use the recovery console to diagnose the system further.\r\n"
77990DA8 mov eax,ntdll.77974508                                                                                                                                                                                   L"AppContainerNamedObjects"
77990DC1 push ntdll.779744F4                                                                                                                                                                                      L"\\Sessions"
77990DC6 push ntdll.779744E0                                                                                                                                                                                      L"%s\\%ld\\%s"
77992B8C mov esi,ntdll.77977AB8                                                                                                                                                                                   "RtlValidateHeap"
77992FC2 push ntdll.77974658                                                                                                                                                                                      L"COMPLUS_InstallRoot"
77993071 mov edx,ntdll.7797464C                                                                                                                                                                                   "_CorExeMain"
77993269 mov dword ptr ss:[ebp-370],ntdll.77974680                                                                                                                                                                L"apphelp.dll"
779936E2 push ntdll.77974764                                                                                                                                                                                      "SE_InitializeEngine"
7799370E push ntdll.77974750                                                                                                                                                                                      "SE_ShimDllLoaded"
7799373B push ntdll.77974738                                                                                                                                                                                      "SE_InstallBeforeInit"
77993768 push ntdll.77974724                                                                                                                                                                                      "SE_InstallAfterInit"
77993795 push ntdll.77974714                                                                                                                                                                                      "SE_DllLoaded"
779937C2 push ntdll.77974704                                                                                                                                                                                      "SE_DllUnloaded"
779937EF push ntdll.779746F0                                                                                                                                                                                      "SE_LdrEntryRemoved"
7799381C push ntdll.779746E0                                                                                                                                                                                      "SE_ProcessDying"
77993849 push ntdll.779746C8                                                                                                                                                                                      "SE_LdrResolveDllName"
77993876 push ntdll.779746AC                                                                                                                                                                                      "SE_GetProcAddressForCaller"
779938A3 push ntdll.77974698                                                                                                                                                                                      "ApphelpCheckModule"
77994BAB mov eax,ntdll.7798E46C                                                                                                                                                                                   L"xl--"
77994BB4 mov eax,ntdll.77974778                                                                                                                                                                                   L"xn--"
7799709B push ntdll.77974790                                                                                                                                                                                      "%u.%u.%u.%u"
77998690 push ntdll.779747C0                                                                                                                                                                                      L"NoDefaultCurrentDirectoryInExePath"
77998AEC push ntdll.77974B50                                                                                                                                                                                      L"\\Registry\\Machine\\Software\\Policies\\Microsoft\\MUI\\Settings"
77998BA2 push ntdll.77975318                                                                                                                                                                                      L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\Settings"
77998BE8 push ntdll.779752E8                                                                                                                                                                                      L"PreferredUILanguages"
7799BEA5 push ntdll.77974640                                                                                                                                                                                      L"PATH"
7799BEF4 push ntdll.77974640                                                                                                                                                                                      L"PATH"
7799C5C6 mov eax,dword ptr ds:[77A89210]                                                                                                                                                                          "X#"
7799C8D8 push ntdll.77977A0C                                                                                                                                                                                      "HEAP[%wZ]: "
7799C8E5 push ntdll.77977A18                                                                                                                                                                                      "HEAP: "
7799C8F0 push ntdll.77977B04                                                                                                                                                                                      "(HeapHandle != NULL)"
7799D47F push ntdll.7797F944                                                                                                                                                                                      "!!! Detour detected, disable parallel loading\n"
7799D486 push ntdll.7797F974                                                                                                                                                                                      "LdrpDetectDetour"
7799D490 push ntdll.779773FC                                                                                                                                                                                      "minkernel\\ntdll\\ldrmap.c"
7799D4D6 mov eax,dword ptr ds:[77A87B44]                                                                                                                                                                          "p2S"
7799D4E7 push dword ptr ds:[77A87B44]                                                                                                                                                                             "p2S"
7799D4F2 and dword ptr ds:[77A87B44],0                                                                                                                                                                            "p2S"
779A0D2F mov ebx,ntdll.77974808                                                                                                                                                                                   "%d"
779A0EE4 push ntdll.779710E8                                                                                                                                                                                      "kLsE"
779A1091 mov edi,1F0003                                                                                                                                                                                           "x "
779A113A push ntdll.77A87B44                                                                                                                                                                                      "p2S"
779A1252 push 1F0003                                                                                                                                                                                              "x "
779A2462 push 1F0003                                                                                                                                                                                              "x "
779A372F cmp dword ptr ds:[77A87B44],0                                                                                                                                                                            "p2S"
779A3747 push dword ptr ds:[77A87B44]                                                                                                                                                                             "p2S"
779A6735 mov ecx,ntdll.7797480C                                                                                                                                                                                   "Actx "
779A78C2 mov esi,dword ptr ds:[77A87C00]                                                                                                                                                                          "x/S"
779A7ABC mov ecx,dword ptr ds:[77A87C00]                                                                                                                                                                          "x/S"
779A7AE7 mov dword ptr ds:[77A87C00],ecx                                                                                                                                                                          "x/S"
779A7EC8 mov ecx,dword ptr ds:[77A87BF0]                                                                                                                                                                          "`MS"
779A7EE1 mov edx,dword ptr ds:[77A87BF8]                                                                                                                                                                          "hMS"
779A7EE7 mov dword ptr ds:[77A87BF0],esi                                                                                                                                                                          "`MS"
779A7EF8 mov dword ptr ds:[77A87BF8],eax                                                                                                                                                                          "hMS"
779A8E51 mov eax,7FFE0030                                                                                                                                                                                         L"C:\\Windows"
779A96CF push ntdll.7797482C                                                                                                                                                                                      L"\\SysWOW64"
779A9869 push ntdll.77974840                                                                                                                                                                                      L"S-1-"
779A9B3A mov al,byte ptr ds:[1040077]                                                                                                                                                                             "\n$"
779A9C7D push ntdll.7797484C                                                                                                                                                                                      L"\\REGISTRY\\USER\\"
779AA229 mov ecx,dword ptr ds:[77A87C00]                                                                                                                                                                          "x/S"
779AB1D2 mov eax,7FFE0030                                                                                                                                                                                         L"C:\\Windows"
779AB1E5 mov eax,7FFE0030                                                                                                                                                                                         L"C:\\Windows"
779AB43A mov eax,dword ptr ds:[779710AC]                                                                                                                                                                          &L"\\SYSTEM32\\"
779AB443 mov eax,dword ptr ds:[779710AC]                                                                                                                                                                          &L"\\SYSTEM32\\"
779AB44E mov eax,dword ptr ds:[779710AC]                                                                                                                                                                          &L"\\SYSTEM32\\"
779AB459 mov eax,dword ptr ds:[779710AC]                                                                                                                                                                          &L"\\SYSTEM32\\"
779AB464 mov eax,dword ptr ds:[779710AC]                                                                                                                                                                          &L"\\SYSTEM32\\"
779AB6C7 mov eax,ntdll.779776B0                                                                                                                                                                                   "SxS"
779AB6CE mov eax,ntdll.779776B4                                                                                                                                                                                   "API set"
779AB6E2 push ntdll.779776BC                                                                                                                                                                                      "DLL %wZ was redirected to %wZ by %s\n"
779AB6E9 push ntdll.779776E4                                                                                                                                                                                      "LdrpPreprocessDllName"
779AB6F3 push ntdll.77977650                                                                                                                                                                                      "minkernel\\ntdll\\ldrutil.c"
779AB83C mov edx,7FFE0030                                                                                                                                                                                         L"C:\\Windows"
779AB855 mov edx,7FFE0030                                                                                                                                                                                         L"C:\\Windows"
779AB8D3 mov dword ptr ss:[ebp-550],ntdll.7797482C                                                                                                                                                                L"\\SysWOW64"
779AB91C push ntdll.7797482C                                                                                                                                                                                      L"\\SysWOW64"
779ABBE6 push ntdll.779776FC                                                                                                                                                                                      "LdrpPreprocessDllName for DLL %wZ failed with status 0x%08lx\n"
779ABBED push ntdll.779776E4                                                                                                                                                                                      "LdrpPreprocessDllName"
779ABBF7 push ntdll.77977650                                                                                                                                                                                      "minkernel\\ntdll\\ldrutil.c"
779AD58E push ntdll.77977A0C                                                                                                                                                                                      "HEAP[%wZ]: "
779AD59B push ntdll.77977A18                                                                                                                                                                                      "HEAP: "
779AD5A7 push ntdll.77977AC8                                                                                                                                                                                      "Invalid heap signature for heap at %p"
779AD5B1 push ntdll.77977A5C                                                                                                                                                                                      "RtlLockHeap"
779AD5B6 push ntdll.77977AF0                                                                                                                                                                                      ", passed to %s"
779AD6D2 push ntdll.77977A0C                                                                                                                                                                                      "HEAP[%wZ]: "
779AD6DF push ntdll.77977A18                                                                                                                                                                                      "HEAP: "
779AD6EB push ntdll.77977AC8                                                                                                                                                                                      "Invalid heap signature for heap at %p"
779AD6F5 push ntdll.77977A68                                                                                                                                                                                      "RtlUnlockHeap"
779AD6FA push ntdll.77977AF0                                                                                                                                                                                      ", passed to %s"
779AEA68 push ntdll.77977A0C                                                                                                                                                                                      "HEAP[%wZ]: "
779AEA77 push ntdll.77977A18                                                                                                                                                                                      "HEAP: "
779AEA93 push ntdll.77977A78                                                                                                                                                                                      "Unable to release memory at %p for %Ix bytes - Status == %x\n"
779B4678 mov eax,dword ptr ds:[779717E4]                                                                                                                                                                          &L"\\\\.\\"
779B5EDE push ntdll.77977874                                                                                                                                                                                      "RtlpFindActivationContextSection_CheckParameters"
779B5EE3 push ntdll.779778A8                                                                                                                                                                                      "SXS: %s() flags contains return_flags but they don't fit in size, return invalid_parameter 0x%08lx.\n"
779B5F27 push ntdll.77977874                                                                                                                                                                                      "RtlpFindActivationContextSection_CheckParameters"
779B5F2C push ntdll.77977910                                                                                                                                                                                      "SXS: %s() flags contains return_assembly_metadata but they don't fit in size, return invalid_parameter 0x%08lx.\n"
779B6022 mov edi,ntdll.7797480C                                                                                                                                                                                   "Actx "
779B61E2 mov esi,ntdll.7797480C                                                                                                                                                                                   "Actx "
779B629F push ntdll.779818F8                                                                                                                                                                                      "RtlFindActivationContextSectionString() found section at %p (length %lu) which is not a string section\n"
779B64AD push ntdll.77981888                                                                                                                                                                                      "SXS/RTL: Section found (offset %ld; length %lu) extends past end of activation context data (%lu bytes)\n"
779B7AF1 mov dword ptr ss:[ebp-38],ntdll.77974D2C                                                                                                                                                                 L"MUI"
779B7DBB push ntdll.77974D2C                                                                                                                                                                                      L"MUI"
779B9A17 push ntdll.779775EC                                                                                                                                                                                      "DLL \"%wZ\" does not contain an export table\n"
779B9A1D push ntdll.77977618                                                                                                                                                                                      "LdrpSnapModule"
779B9A27 push ntdll.77977520                                                                                                                                                                                      "minkernel\\ntdll\\ldrsnap.c"
779B9B5A push ntdll.7797759C                                                                                                                                                                                      "Procedure \"%s\" could not be located in DLL at base 0x%p.\n"
779B9B61 push ntdll.779775D8                                                                                                                                                                                      "LdrpNameToOrdinal"
779B9B6B push ntdll.77977520                                                                                                                                                                                      "minkernel\\ntdll\\ldrsnap.c"
779B9CBB mov edx,ntdll.77977618                                                                                                                                                                                   "LdrpSnapModule"
779BA88F push ntdll.77974784                                                                                                                                                                                      L".mui"
779BBB23 movzx edx,byte ptr ds:[77A88650]                                                                                                                                                                         ",>S"
779BBC6E push ntdll.77974B3C                                                                                                                                                                                      "EXT-"
779BC0F0 movzx ebx,byte ptr ds:[77A88650]                                                                                                                                                                         ",>S"
779BCF78 mov dword ptr ss:[ebp-44],ntdll.779748C8                                                                                                                                                                 L"LdrpResGetResourceDirectory Enter"
779BCF8A mov dword ptr ss:[ebp-4C],ntdll.77974880                                                                                                                                                                 L"LdrpResGetResourceDirectory Exit"
779BD273 mov dword ptr ss:[ebp-308],ntdll.77974960                                                                                                                                                                L"LdrpResSearchResourceMappedFile Enter"
779BD28E mov dword ptr ss:[ebp-358],ntdll.77974910                                                                                                                                                                L"LdrpResSearchResourceMappedFile Exit"
779BD855 push ntdll.77974D2C                                                                                                                                                                                      L"MUI"
779BDBF8 mov dword ptr ss:[ebp-B0],ntdll.77974A08                                                                                                                                                                 L"LdrpResSearchResourceInsideDirectory Enter"
779BDC13 mov dword ptr ss:[ebp-D8],ntdll.779749B0                                                                                                                                                                 L"LdrpResSearchResourceInsideDirectory Exit"
779BE9C3 mov dword ptr ss:[ebp-54],ntdll.77974A94                                                                                                                                                                 L"LdrResSearchResource Enter"
779BE9D5 mov dword ptr ss:[ebp-74],ntdll.77974A60                                                                                                                                                                 L"LdrResSearchResource Exit"
779BEC1A mov dword ptr ss:[ebp-38],ntdll.77974B04                                                                                                                                                                 L"LdrpResGetMappingSize Enter"
779BEC2C mov dword ptr ss:[ebp-40],ntdll.77974ACC                                                                                                                                                                 L"LdrpResGetMappingSize Exit"
779C10A6 mov al,byte ptr ds:[ebx+7797A910]                                                                                                                                                                        "0123456789ABCDEF"
779C2B4F mov ecx,ntdll.77974E34                                                                                                                                                                                   L"WindowsExcludedProcs"
779C2B6C mov ecx,ntdll.77974E00                                                                                                                                                                                   L"Kernel-MUI-Number-Allowed"
779C2BA0 mov ecx,ntdll.77974DC8                                                                                                                                                                                   L"Kernel-MUI-Language-Allowed"
779C2C77 mov ecx,ntdll.77974D88                                                                                                                                                                                   L"Kernel-MUI-Language-Disallowed"
779C2D50 mov ecx,ntdll.77974D58                                                                                                                                                                                   L"Kernel-MUI-Language-SKU"
779C4846 push ntdll.77974B50                                                                                                                                                                                      L"\\Registry\\Machine\\Software\\Policies\\Microsoft\\MUI\\Settings"
779C48F5 push ntdll.77974FF8                                                                                                                                                                                      L"Control Panel\\Desktop"
779C4954 mov eax,ntdll.779752E8                                                                                                                                                                                   L"PreferredUILanguages"
779C4ABB push ntdll.77974FB8                                                                                                                                                                                      L"Control Panel\\Desktop\\MuiCached"
779C4B19 push ntdll.779752B0                                                                                                                                                                                      L"MachinePreferredUILanguages"
779C4D96 push ntdll.77974B50                                                                                                                                                                                      L"\\Registry\\Machine\\Software\\Policies\\Microsoft\\MUI\\Settings"
779C4E23 push ntdll.77975140                                                                                                                                                                                      L"Control Panel\\Desktop\\MuiCached\\MachineLanguageConfiguration"
779C4E84 push ntdll.77975090                                                                                                                                                                                      L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\Settings\\LanguageConfiguration"
779C4F54 push ntdll.77975028                                                                                                                                                                                      L"Software\\Policies\\Microsoft\\Control Panel\\Desktop"
779C4FA9 push ntdll.779751C0                                                                                                                                                                                      L"Control Panel\\Desktop\\LanguageConfiguration"
