Address  Disassembly                                                                  Destination                                                  
743B60DD call dword ptr ds:[<&NtGdiGetDeviceCaps>]                                    <gdi32full.NtGdiGetDeviceCaps>
743B61CC call dword ptr ds:[<&NtGdiGetDeviceCaps>]                                    <gdi32full.NtGdiGetDeviceCaps>
743B6409 call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743B64CA call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743B6544 call dword ptr ds:[<&IcmDeleteLocalDC>]                                      <gdi32full.IcmDeleteLocalDC>
743B684A call dword ptr ds:[<&NtGdiCreateRectRgn>]                                    <gdi32full.NtGdiCreateRectRgn>
743B6883 call dword ptr ds:[<&SelectObjectImpl>]                                      <gdi32full.SelectObjectImpl>
743B6D02 call dword ptr ds:[<&ResolveDelayLoadedAPI>]                                 <kernelbase.ResolveDelayLoadedAPI>
743B6D2F call dword ptr ds:[<&DisableThreadLibraryCalls>]                             <kernelbase.DisableThreadLibraryCalls>
743B6D49 call dword ptr ds:[<&GetCurrentProcess>]                                     <kernel32.GetCurrentProcess>
743B6D50 call dword ptr ds:[<&GetProcessMitigationPolicy>]                            <kernelbase.GetProcessMitigationPolicy>
743B6D65 call dword ptr ds:[<&GdiDllInitializeWrapper>]                               <gdi32full.GdiDllInitializeWrapper>
743B6DE1 call dword ptr ds:[<&_wcsicmp>]                                              <ntdll._wcsicmp>
743B6DF6 call dword ptr ds:[<&_wcsnicmp>]                                             <ntdll._wcsnicmp>
743B6E13 call dword ptr ds:[<&RtlInitUnicodeString>]                                  <ntdll.RtlInitUnicodeString>
743B6E2F call dword ptr ds:[<&hdcCreateDCW>]                                          <gdi32full.hdcCreateDCW>
743B6E46 call dword ptr ds:[<&_wcsnicmp>]                                             <ntdll._wcsnicmp>
743B6E63 call dword ptr ds:[<&RtlInitUnicodeString>]                                  <ntdll.RtlInitUnicodeString>
743B6E95 call <JMP.&memcpy>                                                           <ntdll.memcpy>
743B6F90 call dword ptr ds:[<&GetSystemTimeAsFileTime>]                               <kernelbase.GetSystemTimeAsFileTime>
743B6F9F call dword ptr ds:[<&GetCurrentProcessId>]                                   <kernel32.GetCurrentProcessId>
743B6FA8 call dword ptr ds:[<&GetCurrentThreadId>]                                    <kernel32.GetCurrentThreadId>
743B6FB1 call dword ptr ds:[<&GetTickCount>]                                          <kernelbase.GetTickCount>
743B6FC6 call dword ptr ds:[<&RtlQueryPerformanceCounter>]                            <ntdll.RtlQueryPerformanceCounter>
743B70BB call dword ptr ds:[<&SetUnhandledExceptionFilter>]                           <kernelbase.SetUnhandledExceptionFilter>
