Address  Disassembly                                                                  Destination                                                  
6CB04326 call dword ptr ds:[<&FindFirstFileW>]                                        <kernel32.FindFirstFileW>
6CB0434C call dword ptr ds:[<&FindNextFileW>]                                         <kernel32.FindNextFileW>
6CB0435C call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB06D40 call dword ptr ds:[<&GetDiskFreeSpaceA>]                                     <kernel32.GetDiskFreeSpaceA>
6CB06D4A call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB06D7A call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB06DB8 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB06DCA call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB06E58 call dword ptr ds:[<&FindFirstFileA>]                                        <kernel32.FindFirstFileA>
6CB06E65 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB06F8D call dword ptr ds:[<&FindNextFileA>]                                         <kernel32.FindNextFileA>
6CB06F97 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB070AE call dword ptr ds:[<&FindFirstFileA>]                                        <kernel32.FindFirstFileA>
6CB070BF call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0720C call dword ptr ds:[<&FindNextFileA>]                                         <kernel32.FindNextFileA>
6CB07216 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0731E call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB07330 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB073C0 call dword ptr ds:[<&FindFirstFileA>]                                        <kernel32.FindFirstFileA>
6CB073CD call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB074FE call dword ptr ds:[<&FindNextFileA>]                                         <kernel32.FindNextFileA>
6CB07508 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB07628 call dword ptr ds:[<&FindFirstFileA>]                                        <kernel32.FindFirstFileA>
6CB07639 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0777D call dword ptr ds:[<&FindNextFileA>]                                         <kernel32.FindNextFileA>
6CB07787 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB07873 call dword ptr ds:[<&SetErrorMode>]                                          <kernel32.SetErrorMode>
6CB07895 call dword ptr ds:[<&Sleep>]                                                 <kernel32.Sleep>
6CB078AD call dword ptr ds:[<&Beep>]                                                  <kernel32.Beep>
6CB0790A call dword ptr ds:[<&FindFirstFileW>]                                        <kernel32.FindFirstFileW>
6CB07917 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB07A3F call dword ptr ds:[<&FindNextFileW>]                                         <kernel32.FindNextFileW>
6CB07A49 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB07B60 call dword ptr ds:[<&FindFirstFileW>]                                        <kernel32.FindFirstFileW>
6CB07B71 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB07CBE call dword ptr ds:[<&FindNextFileW>]                                         <kernel32.FindNextFileW>
6CB07CC8 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB07E05 call dword ptr ds:[<&FindFirstFileW>]                                        <kernel32.FindFirstFileW>
6CB07E12 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB07F43 call dword ptr ds:[<&FindNextFileW>]                                         <kernel32.FindNextFileW>
6CB07F4D call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0806D call dword ptr ds:[<&FindFirstFileW>]                                        <kernel32.FindFirstFileW>
6CB0807E call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB081C2 call dword ptr ds:[<&FindNextFileW>]                                         <kernel32.FindNextFileW>
6CB081CC call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB082ED call dword ptr ds:[<&GetFileAttributesA>]                                    <kernel32.GetFileAttributesA>
6CB082F8 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0838F call dword ptr ds:[<&GetFileAttributesA>]                                    <kernel32.GetFileAttributesA>
6CB0839A call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB083BB call dword ptr ds:[<&SetFileAttributesA>]                                    <kernel32.SetFileAttributesA>
6CB0842B call dword ptr ds:[<&SetCurrentDirectoryA>]                                  <kernel32.SetCurrentDirectoryA>
6CB08445 call dword ptr ds:[<&GetCurrentDirectoryA>]                                  <kernel32.GetCurrentDirectoryA>
6CB08478 call dword ptr ds:[<&GetCurrentDirectoryA>]                                  <kernel32.GetCurrentDirectoryA>
6CB084C2 call dword ptr ds:[<&SetEnvironmentVariableA>]                               <kernel32.SetEnvironmentVariableA>
6CB084D6 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0867E mov edi,dword ptr ds:[<&GetCurrentDirectoryA>]                               <kernel32.GetCurrentDirectoryA>
6CB08791 call dword ptr ds:[<&SetCurrentDirectoryA>]                                  <kernel32.SetCurrentDirectoryA>
6CB087A0 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB087F3 mov esi,dword ptr ds:[<&GetFullPathNameA>]                                   <kernel32.GetFullPathNameA>
6CB08808 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB08909 call dword ptr ds:[<&GetDriveTypeA>]                                         <kernel32.GetDriveTypeA>
6CB089C7 mov esi,dword ptr ds:[<&GetFullPathNameA>]                                   <kernel32.GetFullPathNameA>
6CB08A44 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB08B0F call dword ptr ds:[<&CreateDirectoryA>]                                      <kernel32.CreateDirectoryA>
6CB08B19 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB08B47 call dword ptr ds:[<&MoveFileA>]                                             <kernel32.MoveFileA>
6CB08B51 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB08B7C call dword ptr ds:[<&RemoveDirectoryA>]                                      <kernel32.RemoveDirectoryA>
6CB08B86 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB08D17 call dword ptr ds:[<&FindFirstFileA>]                                        <kernel32.FindFirstFileA>
6CB08D7B call dword ptr ds:[<&GetDriveTypeA>]                                         <kernel32.GetDriveTypeA>
6CB08E8B call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB08EA7 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB08F15 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB08F31 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB08F9F call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB08FBB call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0900C call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB09052 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB09065 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB09193 call dword ptr ds:[<&FindFirstFileA>]                                        <kernel32.FindFirstFileA>
6CB091FB call dword ptr ds:[<&GetDriveTypeA>]                                         <kernel32.GetDriveTypeA>
6CB09319 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB09335 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB093AF call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB093CB call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB09445 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB09461 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB094B5 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB09512 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB09525 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB0966D call dword ptr ds:[<&FindFirstFileA>]                                        <kernel32.FindFirstFileA>
6CB096D5 call dword ptr ds:[<&GetDriveTypeA>]                                         <kernel32.GetDriveTypeA>
6CB097F3 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0980F call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB09889 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB098A5 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0991F call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0993B call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0998F call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB099D5 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB099E8 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB09AB1 call dword ptr ds:[<&FindFirstFileA>]                                        <kernel32.FindFirstFileA>
6CB09B15 call dword ptr ds:[<&GetDriveTypeA>]                                         <kernel32.GetDriveTypeA>
6CB09C25 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB09C41 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB09CAF call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB09CCB call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB09D39 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB09D55 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB09DA6 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB09E03 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB09E16 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB09E3B call dword ptr ds:[<&DeleteFileA>]                                           <kernel32.DeleteFileA>
6CB09E45 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB09EB5 call dword ptr ds:[<&GetFileAttributesW>]                                    <kernel32.GetFileAttributesW>
6CB09EC0 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB09F7F call dword ptr ds:[<&SetCurrentDirectoryW>]                                  <kernel32.SetCurrentDirectoryW>
6CB09F99 call dword ptr ds:[<&GetCurrentDirectoryW>]                                  <kernel32.GetCurrentDirectoryW>
6CB09FCC call dword ptr ds:[<&GetCurrentDirectoryW>]                                  <kernel32.GetCurrentDirectoryW>
6CB0A016 call dword ptr ds:[<&SetEnvironmentVariableW>]                               <kernel32.SetEnvironmentVariableW>
6CB0A02A call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0A094 call dword ptr ds:[<&GetFileAttributesW>]                                    <kernel32.GetFileAttributesW>
6CB0A09F call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0A0C0 call dword ptr ds:[<&SetFileAttributesW>]                                    <kernel32.SetFileAttributesW>
6CB0A0F4 mov esi,dword ptr ds:[<&GetFullPathNameW>]                                   <kernel32.GetFullPathNameW>
6CB0A109 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0A295 mov esi,dword ptr ds:[<&GetFullPathNameW>]                                   <kernel32.GetFullPathNameW>
6CB0A315 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0A3DF call dword ptr ds:[<&CreateDirectoryW>]                                      <kernel32.CreateDirectoryW>
6CB0A3E9 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0A417 call dword ptr ds:[<&MoveFileW>]                                             <kernel32.MoveFileW>
6CB0A421 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0A44C call dword ptr ds:[<&RemoveDirectoryW>]                                      <kernel32.RemoveDirectoryW>
6CB0A456 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0A5F1 call dword ptr ds:[<&FindFirstFileW>]                                        <kernel32.FindFirstFileW>
6CB0A655 call dword ptr ds:[<&GetDriveTypeW>]                                         <kernel32.GetDriveTypeW>
6CB0A768 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0A784 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0A7F2 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0A80E call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0A87C call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0A898 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0A8E9 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB0A92F call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0A942 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB0AA74 call dword ptr ds:[<&FindFirstFileW>]                                        <kernel32.FindFirstFileW>
6CB0AADC call dword ptr ds:[<&GetDriveTypeW>]                                         <kernel32.GetDriveTypeW>
6CB0ABFD call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0AC19 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0AC93 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0ACAF call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0AD29 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0AD45 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0AD99 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB0ADF6 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0AE09 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB0AED6 call dword ptr ds:[<&FindFirstFileW>]                                        <kernel32.FindFirstFileW>
6CB0AF3E call dword ptr ds:[<&GetDriveTypeW>]                                         <kernel32.GetDriveTypeW>
6CB0B05F call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0B07B call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0B0F5 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0B111 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0B18B call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0B1A7 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0B1FB call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB0B241 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB0B254 call dword ptr ds:[<&FindClose>]                                             <kernel32.FindClose>
6CB0B3C7 call dword ptr ds:[<&FindFirstFileW>]                                        <kernel32.FindFirstFileW>
6CB0B42B call dword ptr ds:[<&GetDriveTypeW>]                                         <kernel32.GetDriveTypeW>
6CB0B53E call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0B55A call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
6CB0B5C8 call dword ptr ds:[<&FileTimeToLocalFileTime>]                               <kernel32.FileTimeToLocalFileTime>
6CB0B5E4 call dword ptr ds:[<&FileTimeToSystemTime>]                                  <kernel32.FileTimeToSystemTime>
